"Source"	"Target"	"Weight"
"P00002"	"P00071"	1
"P00002"	"P00212"	1
"P00002"	"P00242"	1
"P00002"	"P00320"	1
"P00002"	"P00359"	1
"P00002"	"P00365"	1
"P00002"	"P00434"	1
"P00002"	"P00455"	1
"P00002"	"P00464"	1
"P00002"	"P00839"	1
"P00002"	"P00851"	1
"P00002"	"P00863"	1
"P00002"	"P00878"	1
"P00002"	"P00965"	1
"P00002"	"P00998"	1
"P00002"	"P01061"	1
"P00002"	"P01070"	1
"P00002"	"P01145"	1
"P00002"	"P01307"	1
"P00002"	"P01322"	1
"P00002"	"P12543"	1
"P00002"	"P12556"	1
"P00002"	"P12595"	1
"P00002"	"P12639"	1
"P00002"	"P12650"	1
"P00002"	"P12693"	1
"P00003"	"P00086"	1
"P00003"	"P00119"	2
"P00003"	"P00179"	1
"P00003"	"P00182"	2
"P00003"	"P00185"	1
"P00003"	"P00209"	2
"P00003"	"P00218"	2
"P00003"	"P00224"	2
"P00003"	"P00272"	2
"P00003"	"P00284"	2
"P00003"	"P00293"	1
"P00003"	"P00362"	1
"P00003"	"P00389"	1
"P00003"	"P00410"	2
"P00003"	"P00419"	2
"P00003"	"P00437"	1
"P00003"	"P00494"	1
"P00003"	"P00497"	1
"P00003"	"P00500"	1
"P00003"	"P00821"	1
"P00003"	"P00932"	1
"P00003"	"P00953"	1
"P00003"	"P00992"	1
"P00003"	"P01031"	1
"P00003"	"P01034"	1
"P00003"	"P01064"	1
"P00003"	"P01067"	1
"P00003"	"P01076"	1
"P00003"	"P01085"	1
"P00003"	"P01097"	1
"P00003"	"P01130"	1
"P00003"	"P01172"	1
"P00003"	"P01211"	1
"P00003"	"P01229"	1
"P00003"	"P01238"	1
"P00004"	"P00005"	2
"P00004"	"P00019"	2
"P00004"	"P00028"	2
"P00004"	"P00578"	1
"P00004"	"P01951"	1
"P00004"	"P02260"	1
"P00004"	"P02533"	1
"P00004"	"P02581"	1
"P00004"	"P20405"	1
"P00004"	"P29183"	1
"P00005"	"P00007"	29
"P00005"	"P00008"	22
"P00005"	"P00009"	16
"P00005"	"P00017"	23
"P00005"	"P00018"	25
"P00005"	"P00019"	6
"P00005"	"P00020"	22
"P00005"	"P00021"	1
"P00005"	"P00022"	25
"P00005"	"P00023"	8
"P00005"	"P00024"	8
"P00005"	"P00025"	23
