Source	Target	Weight
P00005	P00004	2
P00007	P00005	29
P00008	P00005	22
P00009	P00005	16
P00014	P00012	2
P00017	P00005	23
P00017	P00007	3
P00018	P00005	25
P00018	P00017	1
P00019	P00004	2
P00019	P00005	6
P00020	P00005	22
P00020	P00007	4
P00020	P00008	2
P00020	P00017	4
P00020	P00018	3
P00021	P00005	1
P00021	P00017	3
P00022	P00005	25
P00022	P00007	2
P00022	P00008	2
P00022	P00017	7
P00022	P00018	1
P00022	P00020	3
P00023	P00005	8
P00023	P00020	3
P00023	P00022	1
P00024	P00005	8
P00024	P00009	3
P00025	P00005	23
P00025	P00007	4
P00025	P00008	3
P00025	P00009	1
P00025	P00017	3
P00025	P00018	1
P00025	P00020	3
P00025	P00022	1
P00026	P00005	17
P00026	P00009	3
P00026	P00017	2
P00026	P00018	1
P00026	P00020	1
P00026	P00022	1
P00026	P00025	1
P00027	P00005	1
P00028	P00004	2
P00028	P00005	11
P00028	P00009	1
P00028	P00019	6
P00028	P00026	1
P00030	P00005	6
P00030	P00009	1
P00030	P00017	1
P00030	P00019	2
P00030	P00025	1
P00030	P00026	1
P00030	P00028	3
P00031	P00005	4
P00031	P00020	1
P00031	P00024	1
P00032	P00005	12
P00032	P00008	1
P00032	P00017	3
P00032	P00022	2
P00033	P00005	4
P00033	P00018	6
P00034	P00005	3
P00034	P00009	1
P00034	P00019	1
P00034	P00023	1
P00034	P00026	1
P00034	P00028	2
P00034	P00030	2
P00035	P00005	3
P00035	P00008	2
P00035	P00025	1
P00036	P00005	6
P00036	P00017	3
P00036	P00018	22
P00036	P00020	2
P00036	P00021	9
P00036	P00025	1
P00036	P00029	10
P00036	P00033	2
P00037	P00005	3
P00037	P00007	1
P00037	P00018	2
P00037	P00020	1
P00037	P00032	1
P00037	P00033	1
P00037	P00036	1
P00038	P00005	7
P00038	P00009	3
P00038	P00024	1
P00039	P00005	21
P00039	P00007	2
P00039	P00008	4
P00039	P00018	1
P00039	P00020	2
P00039	P00025	5
P00040	P00005	3
P00040	P00009	2
P00040	P00024	2
P00040	P00031	1
P00041	P00005	11
P00041	P00007	1
P00041	P00008	3
P00041	P00020	2
