"source"	"target"	"role"	"source role"	"target role"	"tabletID"	"museum Nr"	"excavation Nr"	"publication"	"archive"	"text type"	"subtype"	"place of writing"	"date"	"reign"	"reign order"
P00005	P02467	"payer > recipient"	"payer"	"recipient"	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	"Darius I"	16
P00005	P00035	"payer > recipient"	"payer"	"recipient"	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	"Darius I"	16
P00005	P02002	"payer > recipient"	"payer"	"recipient"	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	"Darius I"	16
P00005	P01969	"obligee > obligor"	"obligee"	"obligor"	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	"Darius I"	16
P28408	P00005	"payer > recipient"	"payer"	"recipient"	T00004	BM 30235		Abraham 2004, no. 3	Egibi Nūr-Sîn	Legal document	receipt	Babylon	5.1.26 Darius I	"Darius I"	16
P15754	P00005	"payer > recipient"	"payer"	"recipient"	T00005	BM 30243		Abraham 2004, no. 4	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.25 Darius I	"Darius I"	16
P00005	P19863	"payer > recipient"	"payer"	"recipient"	T00006	BM 30256		Abraham 2004, no. 5	Egibi Nūr-Sîn	Legal document	receipt	Babylon	2.8.24 Darius I	"Darius I"	16
P00587	P00005	"payer > recipient"	"payer"	"recipient"	T00007	BM 30261		Abraham 2004, no. 6	Egibi Nūr-Sîn	Legal document	receipt	Babylon	13.4.20 Darius I	"Darius I"	16
P19010	P13928	"creditor > debtor"	"creditor"	"debtor"	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	"Darius I"	16
P27109	P23721	"employer > employee"	"employer"	"employee"	T00009	BM 29419		Waerzeggers 2010, no. 1	Ahiya’ūtu	Legal document	prebendary work contract	Borsippa	15.8.31 Darius I	"Darius I"	16
P27109	P23721	"prebend-holder > prebend-performer"	"prebend-holder"	"prebend-performer"	T00009	BM 29419		Waerzeggers 2010, no. 1	Ahiya’ūtu	Legal document	prebendary work contract	Borsippa	15.8.31 Darius I	"Darius I"	16
P19005	P19010	"creditor > debtor"	"creditor"	"debtor"	T00012	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	promissory note; purchase	Sippar	26.4.12 Darius I	"Darius I"	16
P19005	P19083	"creditor > debtor"	"creditor"	"debtor"	T00012	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	promissory note; purchase	Sippar	26.4.12 Darius I	"Darius I"	16
P00009	P01927	"employer > employee"	"employer"	"employee"	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	"Darius I"	16
P25668	P23721	"employer > employee"	"employer"	"employee"	T00014	BM 94638		Waerzeggers 2010, no. 3	Ahiya’ūtu	Legal document	work contract	Borsippa	14.11. Darius I	"Darius I"	16
P02038	P00005	"payer > recipient"	"payer"	"recipient"	T00015	BM 30297		Abraham 2004, no. 9	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.9.24 Darius I	"Darius I"	16
P09154	P00005	"payer > recipient"	"payer"	"recipient"	T00017	BM 30366		Abraham 2004, no. 10	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.26 Darius I	"Darius I"	16
P21983	P24044	"donor > donee"	"donor"	"donee"	T00018	BM 102251		Waerzeggers 2010, no. 5	Ilia A+B	Legal document	gift; manumission; work contract	Borsippa	10.3.22 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P21983	P24044	"employer > employee"	"employer"	"employee"	T00018	BM 102251		Waerzeggers 2010, no. 5	Ilia A+B	Legal document	gift; manumission; work contract	Borsippa	10.3.22 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P21983	P24044	"manumitter > manumitted slave"	"manumitter"	"manumitted slave"	T00018	BM 102251		Waerzeggers 2010, no. 5	Ilia A+B	Legal document	gift; manumission; work contract	Borsippa	10.3.22 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P00040	P00005	"seller > buyer"	"seller"	"buyer"	T00019	BM 30370		Abraham 2004, no. 11	Egibi Nūr-Sîn	Legal document	purchase	Babylon	3.5.26 Darius I	"Darius I"	16
P28997	P15636	"lessor > lessee"	"lessor"	"lessee"	T00022	BM 30490		Abraham 2004, no. 13	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	05.13.26 Darius I	"Darius I"	16
P00005	P15636	"payer > recipient"	"payer"	"recipient"	T00022	BM 30490		Abraham 2004, no. 13	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	05.13.26 Darius I	"Darius I"	16
P00020	P00587	"creditor > debtor"	"creditor"	"debtor"	T00024	BM 30541		Abraham 2004, no. 14	Egibi Nūr-Sîn	Legal document	promissory note	Babylon	.0.25 Darius I	"Darius I"	16
P21983	P23844	"creditor > debtor"	"creditor"	"debtor"	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P21987	P23844	"creditor > debtor"	"creditor"	"debtor"	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P03937	P00005	"payer > recipient"	"payer"	"recipient"	T00026	BM 30589		Abraham 2004, no. 15	Egibi Nūr-Sîn	Legal document	receipt	Babylon	20.3.26 Darius I	"Darius I"	16
P03937	P23299	"payer > recipient"	"payer"	"recipient"	T00026	BM 30589		Abraham 2004, no. 15	Egibi Nūr-Sîn	Legal document	receipt	Babylon	20.3.26 Darius I	"Darius I"	16
P21983	P21938	"testator > heir"	"testator"	"heir"	T00027	BM 26498		Waerzeggers 2010, no. 7	Ilia A+B	Legal document	inheritance-related	Borsippa	.13.02 Nabonidus	"Nabonidus"	10
P21983	P18316	"testator > heir"	"testator"	"heir"	T00027	BM 26498		Waerzeggers 2010, no. 7	Ilia A+B	Legal document	inheritance-related	Borsippa	.13.02 Nabonidus	"Nabonidus"	10
P21983	P21958	"testator > heir"	"testator"	"heir"	T00027	BM 26498		Waerzeggers 2010, no. 7	Ilia A+B	Legal document	inheritance-related	Borsippa	.13.02 Nabonidus	"Nabonidus"	10
P21983	P21961	"testator > heir"	"testator"	"heir"	T00027	BM 26498		Waerzeggers 2010, no. 7	Ilia A+B	Legal document	inheritance-related	Borsippa	.13.02 Nabonidus	"Nabonidus"	10
P19001	P19007	"creditor > debtor"	"creditor"	"debtor"	T00028	FLP 1434		Stigers 1976, no. 37	Ṣāhit-ginê B	Legal document	promissory note	Sippar	10.13.24 Darius I	"Darius I"	16
NN	P00005	"creditor > debtor"	"creditor"	"debtor"	T00029	BM 30591		Abraham 2004, no. 16	Egibi Nūr-Sîn	Legal document	promissory note	Babylon	27.8.25 Darius I	"Darius I"	16
NN	P19003	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	P19125	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	NN	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	P19094	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	NN	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	P19106	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	P19087	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	P19105	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	P19070	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
NN	P19042	"creditor > debtor"	"creditor"	"debtor"	T00030	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	Not mentioned	NN	"NN"	null
P00005	P02758	"obligee > obligor"	"obligee"	"obligor"	T00031	BM 30629		Abraham 2004, no. 17	Egibi Nūr-Sîn	Legal document	summons	Hursag-kalamma	12.8.6 Darius I	"Darius I"	16
P00005	P15741	"payer > recipient"	"payer"	"recipient"	T00032	BM 30639		Abraham 2004, no. 18	Egibi Nūr-Sîn	Legal document	receipt	Babylon	28.8.25 Darius I	"Darius I"	16
P00005	P26812	"creditor > debtor"	"creditor"	"debtor"	T00033	BM 30641		Abraham 2004, no. 19	Egibi Nūr-Sîn	Administrative document	memorandum	Not mentioned	NN	"NN"	null
P02560	P01669	"seller > buyer"	"seller"	"buyer"	T00034	BM 32919		Wunsch 1993b, no. 1	Egibi Nūr-Sîn	Legal document	purchase	Babylon	19.10.28 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P02560	P00036	"seller > buyer"	"seller"	"buyer"	T00034	BM 32919		Wunsch 1993b, no. 1	Egibi Nūr-Sîn	Legal document	purchase	Babylon	19.10.28 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P02656	P01669	"seller > buyer"	"seller"	"buyer"	T00034	BM 32919		Wunsch 1993b, no. 1	Egibi Nūr-Sîn	Legal document	purchase	Babylon	19.10.28 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P02656	P00036	"seller > buyer"	"seller"	"buyer"	T00034	BM 32919		Wunsch 1993b, no. 1	Egibi Nūr-Sîn	Legal document	purchase	Babylon	19.10.28 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P09142	P15710	"seller > buyer"	"seller"	"buyer"	T00035	BM 31004		Wunsch 1993b, no. 3	Egibi Nūr-Sîn	Legal document	purchase	Borsippa	16.5.29 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P02677	P00036	"payer > recipient"	"payer"	"recipient"	T00038	BM 31556		Wunsch 1993b, no. 9	Egibi Nūr-Sîn	Legal document	other	Babylon	22.2.33 Nebuchadnezzar II	"Nebuchadnezzar II"	6
P00029	P15753	"creditor > debtor"	"creditor"	"debtor"	T00041	BM 30494 		Wunsch 1993b, no. 12	Egibi Nūr-Sîn	Legal document	partnership, creation	Babylon	24.13.33 Nebuchadnezzar II	"Nebuchadnezzar II"	6
