"source"	"target"	"relation"	"relation long"	"tabletID"	"museum Nr"	"excavation Nr"	"publication"	"archive"	"text type"	"subtype"	"place of writing"	"date"	"reign"	"reign order"
"P02002"	P00035	"Brother of"	"Brother of Bēl-nādin-apli"	"T00002"	"BM 31034"		"Abraham 2004, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"6.12.6 Darius I"	Darius I	16
"P00035"	P02002	"Brother of"	"Brother of Nabû-iddin"	"T00002"	"BM 31034"		"Abraham 2004, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"6.12.6 Darius I"	Darius I	16
"P28408"	P02650	"Agent of"	"Agent of Tattannu"	"T00004"	"BM 30235"		"Abraham 2004, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"5.1.26 Darius I"	Darius I	16
"P02650"	P28408	"Represented by"	"Represented by Iddin-Nabû"	"T00004"	"BM 30235"		"Abraham 2004, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"5.1.26 Darius I"	Darius I	16
"P15754"	P01744	"Agent of"	"Agent of Bēl-ušallim"	"T00005"	"BM 30243"		"Abraham 2004, no. 4"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.25 Darius I"	Darius I	16
"P15754"	P01852	"Agent of"	"Agent of Bēl-ēṭir"	"T00005"	"BM 30243"		"Abraham 2004, no. 4"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.25 Darius I"	Darius I	16
"P01852"	P01744	"Brother of"	"Brother of Bēl-ušallim"	"T00005"	"BM 30243"		"Abraham 2004, no. 4"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.25 Darius I"	Darius I	16
"P01744"	P01852	"Brother of"	"Brother of Bēl-ēṭir"	"T00005"	"BM 30243"		"Abraham 2004, no. 4"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.25 Darius I"	Darius I	16
"P01744"	P15754	"Represented by"	"Represented by Rēmūtu"	"T00005"	"BM 30243"		"Abraham 2004, no. 4"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.25 Darius I"	Darius I	16
"P01852"	P15754	"Represented by"	"Represented by Rēmūtu"	"T00005"	"BM 30243"		"Abraham 2004, no. 4"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.25 Darius I"	Darius I	16
