source	target	relation	target role	tabletID	museum Nr	excavation Nr	publication	archive	text type	subtype	place of writing	date	reign
P19120	P19116	business partner, investing > witness-scribe	scribe (ṭupšarru)	T00001	NBC 6130		No publication	Ṣāhit-ginê B	Legal document	partnership, creation	Broken/Unclear	22.4.28 Darius I	 Darius I
P19256	P19116	business partner, investing > witness-scribe	scribe (ṭupšarru)	T00001	NBC 6130		No publication	Ṣāhit-ginê B	Legal document	partnership, creation	Broken/Unclear	22.4.28 Darius I	 Darius I
P19120	P19097	business partner, investing > witness-scribe	witness, regular (mukinnu)	T00001	NBC 6130		No publication	Ṣāhit-ginê B	Legal document	partnership, creation	Broken/Unclear	22.4.28 Darius I	 Darius I
P19256	P19097	business partner, investing > witness-scribe	witness, regular (mukinnu)	T00001	NBC 6130		No publication	Ṣāhit-ginê B	Legal document	partnership, creation	Broken/Unclear	22.4.28 Darius I	 Darius I
P00035	P00548	recipient > witness-scribe	scribe (ṭupšarru)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02002	P00548	recipient > witness-scribe	scribe (ṭupšarru)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02467	P00548	recipient > witness-scribe	scribe (ṭupšarru)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P00035	P00008	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P00035	P00025	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P00035	P00041	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02002	P00008	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02002	P00025	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02002	P00041	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02467	P00008	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02467	P00025	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02467	P00041	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P00005	P02374	obligee > witness-scribe	scribe (ṭupšarru)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P01867	obligee > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P02716	obligee > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P15627	obligee > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P20034	obligee > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P02374	obligor > witness-scribe	scribe (ṭupšarru)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P01867	obligor > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P02716	obligor > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P15627	obligor > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P20034	obligor > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P02935	recipient > witness-scribe	scribe (ṭupšarru)	T00004	BM 30235		Abraham 2004, no. 3	Egibi Nūr-Sîn	Legal document	receipt	Babylon	5.1.26 Darius I	 Darius I
P00005	P00028	recipient > witness-scribe	witness, regular (mukinnu)	T00004	BM 30235		Abraham 2004, no. 3	Egibi Nūr-Sîn	Legal document	receipt	Babylon	5.1.26 Darius I	 Darius I
