"source"	"target"	"relation"	"tabletID"	"museum Nr"	"excavation Nr"	"publication"	"archive"	"text type"	"subtype"	"place of writing"	"date"	"reign"	"reign order"
"P19120"	"P19256"	"business partner, investing"	"T00001"	"NBC 6130"		"No publication"	"Ṣāhit-ginê B"	"Legal document"	"partnership, creation"	"Broken/Unclear"	"22.4.28 Darius I"	"Darius I"	16
"P19256"	"P19120"	"business partner, investing"	"T00001"	"NBC 6130"		"No publication"	"Ṣāhit-ginê B"	"Legal document"	"partnership, creation"	"Broken/Unclear"	"22.4.28 Darius I"	"Darius I"	16
"P00035"	"P02002"	"recipient"	"T00002"	"BM 31034"		"Abraham 2004, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"6.12.6 Darius I"	"Darius I"	16
"P00035"	"P02467"	"recipient"	"T00002"	"BM 31034"		"Abraham 2004, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"6.12.6 Darius I"	"Darius I"	16
"P02002"	"P00035"	"recipient"	"T00002"	"BM 31034"		"Abraham 2004, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"6.12.6 Darius I"	"Darius I"	16
"P02002"	"P02467"	"recipient"	"T00002"	"BM 31034"		"Abraham 2004, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"6.12.6 Darius I"	"Darius I"	16
"P02467"	"P00035"	"recipient"	"T00002"	"BM 31034"		"Abraham 2004, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"6.12.6 Darius I"	"Darius I"	16
"P02467"	"P02002"	"recipient"	"T00002"	"BM 31034"		"Abraham 2004, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"6.12.6 Darius I"	"Darius I"	16
"P01744"	"P01852"	"debtor"	"T00005"	"BM 30243"		"Abraham 2004, no. 4"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.25 Darius I"	"Darius I"	16
"P01852"	"P01744"	"debtor"	"T00005"	"BM 30243"		"Abraham 2004, no. 4"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.25 Darius I"	"Darius I"	16
"P13928"	"P19066"	"business partner"	"T00008"	"FLP 1274"		"Stigers 1976, no. 18"	"Ṣāhit-ginê B"	"Legal document"	"promissory note"	"Sippar"	"17.2.21 Darius I"	"Darius I"	16
"P19066"	"P13928"	"business partner"	"T00008"	"FLP 1274"		"Stigers 1976, no. 18"	"Ṣāhit-ginê B"	"Legal document"	"promissory note"	"Sippar"	"17.2.21 Darius I"	"Darius I"	16
"P19010"	"P19083"	"debtor"	"T00012"	"FLP 1468"		"Stigers 1976, no. 33"	"Ṣāhit-ginê B"	"Legal document"	"promissory note; purchase"	"Sippar"	"26.4.12 Darius I"	"Darius I"	16
"P19083"	"P19010"	"debtor"	"T00012"	"FLP 1468"		"Stigers 1976, no. 33"	"Ṣāhit-ginê B"	"Legal document"	"promissory note; purchase"	"Sippar"	"26.4.12 Darius I"	"Darius I"	16
"P21979"	"P26538"	"exchanger"	"T00016"	"BM 94556"		"Waerzeggers 2010, no. 4"	"Ilia A+B"	"Legal document"	"exchange"	"Borsippa"	"21.2.18 Nabopolassar"	"Nabopolassar"	5
"P26538"	"P21979"	"exchanger"	"T00016"	"BM 94556"		"Waerzeggers 2010, no. 4"	"Ilia A+B"	"Legal document"	"exchange"	"Borsippa"	"21.2.18 Nabopolassar"	"Nabopolassar"	5
"P21983"	"P21987"	"creditor"	"T00025"	"BM 27849"		"Waerzeggers 2010, no. 6"	"Ilia A+B"	"Legal document"	"promissory note"	"Borsippa"	"13.12.36 Nebuchadnezzar II"	"Nebuchadnezzar II"	6
"P21987"	"P21983"	"creditor"	"T00025"	"BM 27849"		"Waerzeggers 2010, no. 6"	"Ilia A+B"	"Legal document"	"promissory note"	"Borsippa"	"13.12.36 Nebuchadnezzar II"	"Nebuchadnezzar II"	6
"P00005"	"P23299"	"recipient"	"T00026"	"BM 30589"		"Abraham 2004, no. 15"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"20.3.26 Darius I"	"Darius I"	16
"P23299"	"P00005"	"recipient"	"T00026"	"BM 30589"		"Abraham 2004, no. 15"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"20.3.26 Darius I"	"Darius I"	16
"P18316"	"P21938"	"heir"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	"Nabonidus"	10
"P18316"	"P21958"	"heir"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	"Nabonidus"	10
"P18316"	"P21961"	"heir"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	"Nabonidus"	10
"P21938"	"P18316"	"heir"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	"Nabonidus"	10
"P21938"	"P21958"	"heir"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	"Nabonidus"	10
"P21938"	"P21961"	"heir"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	"Nabonidus"	10
"P21958"	"P18316"	"heir"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	"Nabonidus"	10
"P21958"	"P21938"	"heir"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	"Nabonidus"	10
